time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
41720.3,0,0,0,81,419
42277,0,0,0,63,437
42344,0,0,0,56,444
42404.7,0,0,0,74,426
42454.1,0,0,0,133,367
42459.1,0,0,0,140,360
42916,0,0,0,100,400
43063,0,0,0,84,416
43063,0,0,0,71,429
43167.4,0,0,0,87,413
43180.4,0,0,0,100,400
43225.1,0,0,0,140,360
43230,0,0,0,138,362
43256.2,0,0,0,140,360
44090,0,0,0,108,392
44090,0,0,0,103,397
44090,0,0,0,100,400
44090,0,0,0,45,455
44143.8,0,0,0,48,452
44178.5,0,0,0,53,447
44590,0,0,0,22,478
44603,0,0,0,54,446
44973,0,0,0,85,415
44973,0,0,0,26,474
45186.6,0,0,0,81,419
45186.6,0,0,0,29,471
45710,0,0,0,12,488
45710,0,0,0,11,489
45710,0,0,0,10,490
45722.6,0,0,0,11,489
45729.6,0,0,0,12,488
45841,0,0,0,71,429
45841,0,0,0,27,473
45881.7,0,0,0,44,456
45881.7,0,0,0,25,475
46114.6,0,0,0,77,423
46114.6,0,0,0,56,444
46151,0,0,0,38,462
46259.7,0,0,0,57,443
46293,0,0,0,78,422
46407.2,0,0,0,96,404
46540,0,0,0,40,460
46655.4,0,0,0,84,416
46940,0,0,0,444,56
47004.6,0,0,0,500,0
47004.6,0,0,0,27,473
47035,0,0,0,21,479
47137.7,0,0,0,27,473
47462,0,0,0,8,492
47664.4,0,0,0,27,473
48663,0,0,0,12,488
48663,0,0,0,6,494
48733.1,0,0,0,12,488
48799,0,0,0,5,495
48840.2,0,0,0,12,488
48845.1,0,0,0,27,473
49134,0,0,0,15,485
49350.1,0,0,0,27,473
49358,0,0,0,16,484
49358,0,0,0,12,488
49395,0,0,0,8,492
49415.2,0,0,0,12,488
49426.8,0,0,0,16,484
49426.8,0,0,0,2,498
49464.5,0,0,0,13,487
49559.2,0,0,0,27,473
49559.2,0,0,0,7,493
49690.8,0,0,0,27,473
49690.8,0,0,0,10,490
49690.8,0,0,0,0,500
49828.4,0,0,0,17,483
49828.4,0,0,0,0,500
49874.3,0,0,0,10,490
49994,0,0,0,7,493
50028.1,0,0,0,10,490
50067.9,0,0,0,27,473
50067.9,0,0,0,7,493
50204.8,0,0,0,27,473
50204.8,0,0,0,12,488
50380.9,0,0,0,27,473
50822,0,0,0,21,479
50869.2,0,0,0,27,473
51253,0,0,0,18,482
51298.1,0,0,0,27,473
51745,0,0,0,24,476
51786.1,0,0,0,27,473
52262,0,0,0,10,490
52370,0,0,0,6,494
52399.1,0,0,0,10,490
52496.3,0,0,0,27,473
52496.3,0,0,0,13,487
52496.3,0,0,0,2,498
52619.3,0,0,0,13,487
52619.3,0,0,0,1,499
52705.2,0,0,0,15,485
52741.8,0,0,0,27,473
52741.8,0,0,0,7,493
53078.8,0,0,0,480,20
53078.8,0,0,0,425,75
53078.8,0,0,0,219,281
53078.8,0,0,0,186,314
53078.8,0,0,0,128,372
53078.8,0,0,0,82,418
53078.8,0,0,0,51,449
53078.8,0,0,0,12,488
53085.6,0,0,0,32,468
53446.1,0,0,0,78,422
53446.1,0,0,0,37,463
53458,0,0,0,23,477
53458,0,0,0,15,485
53472.2,0,0,0,46,454
53472.2,0,0,0,16,484
53548.1,0,0,0,30,470
53548.1,0,0,0,23,477
53572,0,0,0,56,444
53584,0,0,0,41,459
53603.6,0,0,0,48,452
53606.5,0,0,0,56,444
53672,0,0,0,39,461
53750.4,0,0,0,69,431
53778.5,0,0,0,110,390
53778.5,0,0,0,53,447
53787.5,0,0,0,68,432
53793,0,0,0,85,415
53804.9,0,0,0,124,376
53804.9,0,0,0,86,414
53980.4,0,0,0,141,359
53980.4,0,0,0,96,404
54114.8,0,0,0,154,346
54193.3,0,0,0,192,308
54516,0,0,0,132,368
54516,0,0,0,112,388
54521.3,0,0,0,169,331
54665,0,0,0,163,337
54665,0,0,0,151,349
54692.8,0,0,0,196,304
54700.3,0,0,0,216,284
54761.4,0,0,0,222,278
54785.2,0,0,0,234,266
54919,0,0,0,225,275
54919,0,0,0,221,279
54974.8,0,0,0,225,275
55022.6,0,0,0,234,266
55226,0,0,0,181,319
55230.6,0,0,0,241,259
55502,0,0,0,233,267
55502,0,0,0,183,317
55502,0,0,0,142,358
55574,0,0,0,123,377
55613.3,0,0,0,131,369
55622,0,0,0,72,428
55622,0,0,0,52,448
55622,0,0,0,41,459
55744.7,0,0,0,52,448
55763.7,0,0,0,105,395
55902.6,0,0,0,124,376
55906.4,0,0,0,165,335
55930,0,0,0,159,341
55930,0,0,0,142,358
55966,0,0,0,162,338
56014.8,0,0,0,168,332
56110,0,0,0,157,343
56175.2,0,0,0,174,326
56305,0,0,0,185,315
56393,0,0,0,166,334
56393,0,0,0,164,336
56406.1,0,0,0,166,334
56476,0,0,0,216,284
56509.6,0,0,0,235,265
56629.3,0,0,0,441,59
56664.9,0,0,0,500,0
56841,0,0,0,480,20
57004,0,0,0,470,30
57004,0,0,0,417,83
57021.2,0,0,0,437,63
57071.5,0,0,0,447,53
57168,0,0,0,406,94
57168,0,0,0,394,106
57168,0,0,0,345,155
57168,0,0,0,329,171
57269.3,0,0,0,341,159
57309.9,0,0,0,357,143
57327,0,0,0,258,242
57434,0,0,0,247,253
57434,0,0,0,234,266
57434,0,0,0,212,288
57473.6,0,0,0,265,235
57508.8,0,0,0,276,224
57572.2,0,0,0,289,211
57615.3,0,0,0,338,162
57673,0,0,0,310,190
57813.6,0,0,0,332,168
57833.4,0,0,0,360,140
57960.4,0,0,0,401,99
58156,0,0,0,386,114
58156,0,0,0,379,121
58156,0,0,0,329,171
58230.1,0,0,0,336,164
58285.5,0,0,0,351,149
58312,0,0,0,302,198
58385,0,0,0,286,214
58385,0,0,0,274,226
58467.1,0,0,0,290,210
58482.2,0,0,0,302,198
58587,0,0,0,250,250
58587,0,0,0,230,270
58587,0,0,0,207,293
58758.5,0,0,0,230,270
58858,0,0,0,193,307
58858,0,0,0,183,317
58983.9,0,0,0,203,297
59028.4,0,0,0,213,287
59037.4,0,0,0,265,235
59044.3,0,0,0,315,185
59117,0,0,0,312,188
59134.1,0,0,0,411,89
59134.2,0,0,0,460,40
59134.2,0,0,0,261,239
59164.3,0,0,0,264,236
59206.5,0,0,0,301,199
59426,0,0,0,297,203
59466,0,0,0,301,199
59532,0,0,0,282,218
59532,0,0,0,271,229
59636,0,0,0,258,242
59658.7,0,0,0,269,231
59719.9,0,0,0,282,218
59806,0,0,0,258,242
59891.8,0,0,0,277,223
59932,0,0,0,261,239
60086,0,0,0,258,242
60110.6,0,0,0,261,239
60158,0,0,0,249,251
60199.2,0,0,0,265,235
60247.3,0,0,0,289,211
60346.6,0,0,0,301,199
61443,0,0,0,289,211
61504,0,0,0,286,214
61504,0,0,0,278,222
61504,0,0,0,240,260
61542,0,0,0,186,314
61542,0,0,0,167,333
61542,0,0,0,156,344
61542.1,0,0,0,159,341
61590.2,0,0,0,171,329
61639.2,0,0,0,179,321
61643,0,0,0,166,334
61678.3,0,0,0,177,323
61713.8,0,0,0,196,304
61744.2,0,0,0,234,266
61766,0,0,0,233,267
61775.8,0,0,0,234,266
61804.2,0,0,0,433,67
61851.7,0,0,0,446,54
62133,0,0,0,388,112
62133,0,0,0,378,122
62315,0,0,0,388,112
62389.7,0,0,0,442,58
62542,0,0,0,425,75
62542,0,0,0,423,77
62562.1,0,0,0,425,75
62700.1,0,0,0,483,17
62832.2,0,0,0,500,0
62913,0,0,0,496,4
62913,0,0,0,484,16
62958.8,0,0,0,488,12
62999.3,0,0,0,500,0
63010,0,0,0,469,31
63212.5,0,0,0,500,0
63306,0,0,0,483,17
63463.7,0,0,0,500,0
63497,0,0,0,488,12
63497,0,0,0,469,31
63587.8,0,0,0,481,19
63727.3,0,0,0,500,0
63927,0,0,0,495,5
63927,0,0,0,487,13
63982.3,0,0,0,492,8
64020.3,0,0,0,500,0
64047,0,0,0,474,26
64047,0,0,0,464,36
64179.7,0,0,0,490,10
64186.9,0,0,0,500,0
66412,0,0,0,487,13
66412,0,0,0,473,27
66412,0,0,0,421,79
66590.6,0,0,0,434,66
66654.7,0,0,0,448,52
66686.1,0,0,0,500,0
70890,0,0,0,445,55
71173,0,0,0,430,70
71274.4,0,0,0,445,55
71398,0,0,0,425,75
71526.2,0,0,0,445,55
71940.3,0,0,0,500,0
73274,0,0,0,452,48
73791.2,0,0,0,500,0
75021,0,0,0,497,3
75021,0,0,0,475,25
75021,0,0,0,459,41
75037.1,0,0,0,462,38
75209.1,0,0,0,484,16
75340.3,0,0,0,500,0
75486,0,0,0,466,34
75983.9,0,0,0,500,0
78047,0,0,0,482,18
78047,0,0,0,469,31
78204.6,0,0,0,487,13
78292.6,0,0,0,500,0
80424,0,0,0,490,10
80516.3,0,0,0,500,0
83278,0,0,0,464,36
83278,0,0,0,455,45
83278,0,0,0,420,80
83365.1,0,0,0,429,71
83660.7,0,0,0,465,35
83947.5,0,0,0,500,0
84951,0,0,0,489,11
